clause_id,company,text,word_count,category,risk_label,dpdpa_section,notes
phonepe_1,phonepe,"This policy describes how PhonePe collects, stores, uses and otherwise processes your Personal Information through PhonePe websites, PhonePe Applications, m-sites, chatbots, notifications, interacting with our content on any other site, or any other medium used by PhonePe to provide its services to you (hereinafter referred to as the âPlatformâ).",49,,,,
phonepe_3,phonepe,"We value the trust you place in us and respect your privacy, maintaining the highest standards for secure transactions and protection of your personal information.",25,,,,
phonepe_4,phonepe,"This Privacy Policy is published and shall be construed in accordance with the provisions of Indian laws and regulations including the Information Technology (Reasonable Security Practices and Procedures and Sensitive Personal Data or Information) Rules, 2011 under the Information Technology Act, 2000, the Aadhaar Act, 2016 and its Amendments, including the Aadhaar Regulations; that require publishing of the privacy policy for collection, use, storage, transfer, disclosure of Personal Information.",69,,,,
phonepe_5,phonepe,"Personal Information means and includes all information that can be linked to a specific individual and also includes Sensitive Personal Information (all Personal Information which requires heightened data protection measures due to its sensitive and personal nature), both, hereinafter referred to as âPersonal Informationâ, excluding any information that is freely available or accessible in public domain.",56,,,,
phonepe_6,phonepe,"Please note, your Personal Information processing will be subject to Indian laws.",12,,,,
phonepe_7,phonepe,"If you do not agree with this Privacy Policy, please do not use or access our Platform.",17,,,,
phonepe_8,phonepe,We may collect your Personal Information when you use our services or Platform or otherwise interact with us during the course of our relationship.Â We collect Personal Information which is relevant and absolutely necessary for providing the services requested by you and to continually improve the PhonePe Platform.,48,,,,
phonepe_9,phonepe,"Personal and Sensitive Personal Information collected, as applicable, includes, but are not limited to:Â",14,,,,
phonepe_10,phonepe,"name, age, gender, photo, address, phone number, e-mail id, and any other details when you create an account with us, your contacts,Â  nominee details",24,,,,
phonepe_11,phonepe,"KYC-related information such as PAN, income details, your business-related information, videos or other online/ offline verification documents as mandated by relevant regulatory authorities.",23,,,,
phonepe_12,phonepe,"Aadhaar information including Aadhaar number or Virtual ID for the purposes of e-KYC authentication with the Unique Identification Authority of India (UIDAI). Note that submission of Aadhaar information is not mandatory and there are alternatives to submission of identity information (e.g., Voter ID, DL)",44,,,,
phonepe_14,phonepe,"balance including broker ledger balance or margins, transaction history and value, bank account details, wallet balance, investment details and transactions, income range, expense range, investment goals, service or transaction related communication, order details, service fulfilment details, part of your card details for smooth transaction using PhonePe or any of the services",51,,,,
phonepe_15,phonepe,"your device details such as device identifier, internet bandwidth, mobile device model, browser plug-ins, and cookies or similar technologies that may identify your browser/PhonePe Applications and plug-ins, and time spent, IP address and location",34,,,,
phonepe_16,phonepe,"your Short Messaging Service (SMS(es)) that are stored on your device for the purposes of, including but not limited to, registering you and your device for payments or investment services, OTPs for logins and payments, enhancing your security, bill payments and recharge reminders, and any other legitimate uses with your explicit consent",52,,,,
phonepe_17,phonepe,"your health and lifestyle-related information, including your physical activity, when you opt for health-tracking services",15,,,,
phonepe_18,phonepe,"video, photo, audio, and location, based on your explicit consent through your app permissions (camera, microphone, location) when you opt for a product whose core functionality can be delivered only after accessing your app permissions, or where access is as per regulatory requirements, e.g., video-based KYC, self-inspection of your vehicle, and onboarding",52,,,,
phonepe_19,phonepe,Information may be collected at various stages of your usage of the PhonePe Platform such as:,16,,,,
phonepe_21,phonepe,"creating your PhonePe user account. Your associated profile information, including but not limited to name, email id, other profile details as may be provided by you, will be common across PhonePe apps",32,,,,
phonepe_23,phonepe,"accessing links, e-mails, chat conversations, feedbacks, notifications sent or owned by PhonePe Platform and if you opt to participate in our occasional surveys",23,,,,
phonepe_25,phonepe,while applying for career opportunities with PhonePe or when onboarding with PhonePe for employment purposes,15,,,,
phonepe_26,phonepe,"We and our service providers or business partners may also collect your Personal Information from third parties or information made publicly available, as applicable, including but not limited to:",29,,,,
phonepe_27,phonepe,"financial history and other information for the purpose of providing you PhonePe services, verifying and authenticating an investment transaction request you place with us to prevent suspicious transactions, or to comply with court judgements and bankruptcies, from credit reference and fraud prevention agencies.Â",43,,,,
phonepe_28,phonepe,"your resume, your past employment and educational qualification for background checks and verifications, through online or offline databases that are otherwise legitimately obtained in case you apply for employment opportunities with PhonePe",32,,,,
phonepe_29,phonepe,"your demographic and photo information including but not limited to Aadhaar number, address, gender, and date of birth as a response received from UIDAI upon successful Aadhaar e-KYC",28,,,,
phonepe_31,phonepe,creation of your account and verification of your identity and access privileges,12,,,,
phonepe_33,phonepe,"to conduct the KYC compliance process as a mandatory prerequisite as per the requirements of various regulatory bodies, including UIDAI under the Aadhaar Act and its Regulations",27,,,,
phonepe_34,phonepe,"to validate, process and/or share your KYC information, nominee details with other intermediaries, Regulated Entities (REs), non-banking financial companies, or AMCs, or financial institutions, or with any other service providers as may be required",34,,,,
phonepe_35,phonepe,"to process payments on your behalf and on your instructions; communicate with you for your queries, transactions, and/or any other regulatory requirement, etc.",23,,,,
phonepe_37,phonepe,to authenticate a transaction request; validate a standing instruction for a Systematic Investment Plan or confirm a payment made via the services,22,,,,
phonepe_39,phonepe,"simplifying and enabling your user journey, where applicable, using data we may have about you",15,,,,
phonepe_40,phonepe,"to monitor and review products/services from time to time; customize the services to make your experience safer and easier, and conducting audits",22,,,,
phonepe_41,phonepe,to allow third parties to contact you for products and services availed/requested by you on or via the PhonePe Platform or third-party links,23,,,,
phonepe_42,phonepe,"to carry out credit checks and risk analysis, screenings or due diligence checks as lawfully required by us and detect and protect us against error, fraud, money laundering and other criminal activityÂ",32,,,,
phonepe_44,phonepe,to resolve disputes; troubleshoot problems; technical support and fixing bugs; help promote a safe service,15,,,,
phonepe_46,phonepe,"to identify security breaches and attacks; investigating, preventing, and taking action on illegal or suspected fraud or money laundering activities and conducting forensic audits as part of internal or external audit or investigation by PhonePe or government agencies located within India or outside the Indian jurisdiction",46,,,,
phonepe_47,phonepe,"While we may also process your Personal Information for other legitimate business cases, we ensure to take appropriate steps to minimize the processing to the extent possible, making it less intrusive to your privacy.",34,,,,
phonepe_48,phonepe,"Please note that when providing you with account aggregator services, we do not store, use, process, or have access to any financial information that you choose to transmit under our services.",31,,,,
phonepe_49,phonepe,"We use data collection devices such as âcookiesâ or similar technologies on certain pages of the Platform to help analyse our web page flow, measure promotional effectiveness, and promote trust and safety.",32,,,,
phonepe_50,phonepe,âCookiesâ are small files placed on your device hard-drive/storage that assist us in providing our services.,16,,,,
phonepe_53,phonepe,We also use cookies to allow you to enter your password less frequently during a session.,16,,,,
phonepe_54,phonepe,Cookies or similar technologies can also help us provide information that is targeted to your interests.,16,,,,
phonepe_55,phonepe,"Most cookies are âsession cookies,â meaning that they are automatically deleted from your device hard-drive/storage at the end of a session.",21,,,,
phonepe_56,phonepe,"You are always free to decline/delete our cookies or similar technologies if your browser/device permits, although in that case you may not be able to use certain features on the Platform and you may be required to re-enter your password more frequently during a session.",45,,,,
phonepe_57,phonepe,"Additionally, you may encounter âcookiesâ or other similar technologies on certain pages of the Platform that are placed by third parties.",21,,,,
phonepe_58,phonepe,We do not control the use of cookies by third parties.,11,,,,
phonepe_60,phonepe,"We may share your Personal Information with different categories of recipients such as business partners, service providers, sellers, logistic partners,Â  merchants, Wealthbasket curators,Â PhonePe entities/subsidiaries, legally recognized authorities, regulatory bodies, governmental authorities, financial institutions, credit bureaus, non-banking financial companies, internal teams such as marketing, security, investigation team, etc.Â  Â",49,,,,
phonepe_62,phonepe,"for enabling the provision of the products/services availed by you and facilitating the services between you and the service provider, business partners, sellers, logistic partners, as requested",27,,,,
phonepe_64,phonepe,for the Aadhaar authentication process by submitting Aadhaar information to Central Identities Data Repository (CIDR) and National Securities Depository Limited (NSDL),21,,,,
phonepe_65,phonepe,"for complying with applicable laws as well as meeting the Know Your Customer (KYC) requirements as mandated by various regulatory bodies, whose regulated service/product you opt through our services/Platforms",29,,,,
phonepe_66,phonepe,"for completing a payment transaction initiated by you on a merchant site, where based on your instructions, the merchant requests to fetch your Personal Information from us",27,,,,
phonepe_67,phonepe,for the purpose of processing your financial product subscription requests placed with us and ensuring that these requests reach the relevant financial institution whose service/product you have opted for,29,,,,
phonepe_69,phonepe,"under contract who assist us with our business operations, includingÂ enabling your KYC process, eligibility checks, collection services, and storage of such information, as required by our lending partners",29,,,,
phonepe_71,phonepe,"for services related to communication, marketing, data and information storage, transmission, security, analytics, fraud detection, risk assessment and research",19,,,,
phonepe_73,phonepe,"respond to claims that an advertisement, posting, or other content violates the rights of a third party; or protect the rights, property or personal safety of our users or the general public",32,,,,
phonepe_74,phonepe,"if required to do so by law or in good faith where we believe that such disclosure is reasonably necessary to respond to subpoenas, court orders, or other legal process",30,,,,
phonepe_77,phonepe,with the internal investigation department within PhonePe or agencies appointed by PhonePe for investigation purposes located within or outside the Indian jurisdiction,22,,,,
phonepe_79,phonepe,"While the information is shared with third parties as per purposes set out in this Policy, processing of your Personal Information is governed by their policies.",26,,,,
phonepe_80,phonepe,"PhonePe ensures stricter or no less stringent privacy protection obligations are cast on these third-parties, wherever applicable and to the extent possible.",22,,,,
phonepe_81,phonepe,"However, PhonePe may share Personal Information with third-parties such as legally recognized authorities, regulatory bodies, governmental authorities, and financial institutions as per purposes set out in this Policy or as per applicable laws.",33,,,,
phonepe_82,phonepe,We do not accept any responsibility or liability for usage of your Personal Information by these third parties or their policies.,21,,,,
phonepe_83,phonepe,"To the extent applicable, we store Personal Information within India and retain it in accordance with applicable laws and for a period no longer than it is required for the purpose for which it was collected.",36,,,,
phonepe_84,phonepe,"However, we may retain Personal Information related to you if we believe it may be necessary to prevent fraud or future abuse or if required by law such as in the event of the pendency of any legal/regulatory proceeding or receipt of any legal and/or regulatory direction to that effect or for other legitimate purposes.",55,,,,
phonepe_85,phonepe,"Once the Personal Information has reached its retention period, it shall be deleted in compliance with applicable laws.",18,,,,
phonepe_86,phonepe,"PhonePe has deployed administrative, technical, and physical security measures to safeguard userâs Personal Information and Sensitive Personal Information.",18,,,,
phonepe_87,phonepe,"Specifically, in order to safeguard your Aadhaar information, we have implemented applicable security controls as given under and required by the Aadhaar Regulations.",23,,,,
phonepe_88,phonepe,"We understand that as effective as our security measures are, no security system is impenetrable.",15,,,,
phonepe_89,phonepe,"Hence, as part of our reasonable security practices, we undergo strict internal and external reviews to ensure appropriate information security encryption or controls are placed for both data in motion and data at rest within our network and servers respectively.",40,,,,
phonepe_90,phonepe,The database is stored on servers secured behind a firewall; access to the servers is password-protected and is strictly limited.,20,,,,
phonepe_91,phonepe,"Further, you are responsible for maintaining the confidentiality and security of your login id and password. Please do not share your PhonePe login, password, and OTP details with anybody. It shall be your responsibility to intimate us in case of any actual or suspected compromise to your Personal Information.",49,,,,
phonepe_92,phonepe,We have provided multiple levels of security to safeguard the PhonePe Application by login/logout option and PhonePe Application lock feature (âEnable Screen Lockâ) that can be enabled by you. We have preventive controls implemented to ensure you use PhonePe Application on your device and the same login credentials cannot be used on different device without any additional authentication/OTP.,58,,,,
phonepe_93,phonepe,"When you are availing products and services of service providers on PhonePe Platform, Personal Information may be collected by respective service providers and such Personal Information shall be governed by their privacy policy. You may refer to their privacy policy and terms of service to understand how your Personal Information will be handled by such service providers.",57,,,,
phonepe_94,phonepe,Our services may include links to other websites or applications when you visit our Platform.,15,,,,
phonepe_95,phonepe,"Such websites or applications are governed by their respective privacy policies, which are beyond our control.",16,,,,
phonepe_96,phonepe,"Once you leave our servers (you can tell where you are by checking the URL in the location bar on your browser or on the m-site you are redirected to), use of any Personal Information that you provide on these websites or applications is governed by the privacy policy of the operator of the application/website, you are visiting.",58,,,,
phonepe_97,phonepe,That policy may differ from ours and you are requested to review those policies or seek access to the policies from the domain owner before proceeding to use those applications or websites.,32,,,,
phonepe_99,phonepe,"By using the PhonePe Platform or services and/or by providing your Personal Information, you consent to the processing of your Personal Information by PhonePe in accordance with this Privacy Policy.",30,,,,
phonepe_100,phonepe,"If you disclose to us any Personal Information relating to other people, you represent that you have the authority to do so and permit us to use the information in accordance with this Privacy Policy.",35,,,,
phonepe_101,phonepe,"Further, you agree and authorize PhonePe to communicate with you via channels like Phone calls and E-mail for the purposes set out in this policy, irrespective of your registration with any authorized DND registries.",34,,,,
phonepe_102,phonepe,"We provide all users with the opportunity to opt-out of receiving any of our services or non-essential (promotional, marketing-related) communications from us, after setting up an account. If you want to remove your contact information from all our lists and newsletters or discontinue any of our services, please click on the unsubscribe button on the emailers.",56,,,,
phonepe_103,phonepe,In case you receive a call for any specific PhonePe product/service you may opt-out from such calls by informing PhonePeâs representative during the call.,24,,,,
phonepe_104,phonepe,You can access and review your Personal Information shared by you by placing a request with us.,17,,,,
phonepe_105,phonepe,"In addition, you may at any time revoke consent given to us to store your e-KYC information, collected as part of the Aadhaar-based e-KYC process.",25,,,,
