clause_id,company,text,word_count,category,risk_label,dpdpa_section,notes
zomato_0,zomato,) respect your privacy and are committed to protecting it. This policy describes:,13,,,,
zomato_1,zomato,"the types of information that Eternal may collect from you when you access or use its websites, applications and other online services (collectively, referred as âServicesâ); and",27,,,,
zomato_2,zomato,"its practices for collecting, using, maintaining, protecting and disclosing that information.",11,,,,
zomato_3,zomato,"This policy applies only to the information Eternal collects through its Services, in email, text and other electronic communications sent through or in connection with its Services.",27,,,,
zomato_4,zomato,"This policy does not apply to information that you provide to, or that is collected by, any third-party, such as restaurants at which you make reservations and/or pay through Eternal Services and social networks that you use in connection with its Services. Eternal encourages you to consult directly with such third-parties for information about their privacy practices.",57,,,,
zomato_5,zomato,Please read this policy carefully to understand Eternalâs policies and practices regarding processing of your information.,16,,,,
zomato_6,zomato,"By accessing or using Eternalâs Services and/or registering for an account with Eternal or any of its affiliates, you agree to this privacy policy and you provide your informed consent to the collection, use, disclosure, retention, and protection of your personal information as described here.",45,,,,
zomato_7,zomato,"If you do not provide the information Eternal requires, Eternal and its platforms may decline to provide Services to you.",20,,,,
zomato_8,zomato,"This policy may change from time to time, your continued use of Eternalâs Services after it makes any change is deemed to be acceptance of those changes, so please check the policy periodically for any updates.",36,,,,
zomato_9,zomato,"This Privacy Policy outlines Eternal and its affiliates' practices regarding the processing of personal information concerning individuals engaging with our Platform and Services. This applies comprehensively to customers, merchant partners, delivery / service partners, users of our digital platforms (websites and applications), participants in events facilitated by Eternal, and personnel including employees,contractors, interns and third parties.",56,,,,
zomato_10,zomato,"Eternal and its platforms and affiliate companies collect information from and about users of our Services, which includes:",18,,,,
zomato_11,zomato,"that relates to an identified or identifiable individual. This may include data you provide directly, data generated through your use of the Services, or data obtained from third parties, which, either alone or in combination with other information we possess or are likely to access, can identify you. Examples are further detailed throughout this policy.",55,,,,
zomato_12,zomato,"Other Information: Data related to your use of the Services that may not directly identify you by itself but is collected in connection with your account or activities. This includes, but is not limited to, information about your internet connection, the specific device(s) and equipment you use to access our Services, and details about your usage patterns and interactions with the Services.",62,,,,
zomato_13,zomato,"As detailed elsewhere in this policy, we collect this information through various means: directly from you, automatically during your interaction with our Services (utilizing technologies like cookies and tracking tools), and indirectly from third-party sources.",35,,,,
zomato_14,zomato,The information we collect on or through our Services may include:,11,,,,
zomato_15,zomato,"Â Name, address, email address, postal code, password and other information you may provide with your account, such as your gender, mobile phone number, date of birth, anniversary date, user bio, nationality and website.",34,,,,
zomato_16,zomato,This also includes your profile picture that will be publicly displayed as part of your account profile.,17,,,,
zomato_17,zomato,You may optionally provide us with this information through third-party sign-in services such as Facebook and Google.,17,,,,
zomato_18,zomato,"In such cases, we fetch and store whatever information is made available to us through these sign-in services.",18,,,,
zomato_19,zomato,"Â Information you provide through our Services, including your reviews, photographs, comments, lists, followers, the users you follow, current and prior restaurant reservation details, food ordering details and history, favourite restaurants, special restaurant requests, contact information of people and other information you provide on our Services, and other information in your account profile.",53,,,,
zomato_20,zomato,By providing information of a third-party individual (such as for placing orders on behalf of someone else) you confirm that you have such individualâs consent to share their personal information with Eternal.,32,,,,
zomato_21,zomato,"Further, any information provided by you directly while utilising the Services will also be collected by us.",17,,,,
zomato_22,zomato,"This includes details related to events you book, attend, or express interest in via our Services (such as District), including ticket types, seat preferences, attendance confirmations, event feedback, specific event-related preferences (e.g., accessibility needs volunteered by you), and any information shared when interacting with event organizers or venues through our platform.",51,,,,
zomato_23,zomato,"We may also record dietary preferences or restrictions, cuisine preferences, preferred price points, occasion types (e.g., birthday, anniversary) and any data you input or actions you take while interacting with specific features, such as providing travel details (such as train PNR), event booking data, loyalty program participation, or preferences selected within any Service.",53,,,,
zomato_24,zomato,"Â Communications between you and other users, delivery partners or merchants through our Services, some of which may be recorded for internal purposes; your participation in a survey, poll, sweepstakes, contest or promotion scheme; your request for certain features (e.g., newsletters, updates or other products); your communication with us about employment opportunities posted to the Services; your correspondence with our customer service and other grievance redressal mechanisms.",67,,,,
zomato_25,zomato,"If you exchange messages with others through the Services, we may store them in order to process and deliver them, allow you to manage them, and investigate possible violations of our Terms of Service and wrongdoing in connection with the Services.",41,,,,
zomato_26,zomato,"If you send information from the Services to your mobile device via SMS text message, we may log your phone number, phone carrier, and the date and time that the message was processed.",33,,,,
zomato_27,zomato,"Â If you make reservations or purchases through our Services, we may collect and store information about you to process your requests and automatically complete forms for future transactions, including (but not limited to) your phone number, address, email, billing information and credit or payment card information.",47,,,,
zomato_28,zomato,"This information may be shared with third-parties which assist in processing and fulfilling your requests, including PCI compliant payment gateway processors.",21,,,,
zomato_29,zomato,"If you write reviews about businesses with which you conduct transactions through our Services, we may publicly display information that you transacted with those businesses.",25,,,,
zomato_30,zomato,"Â You may also provide information (such as ratings, reviews, tips, photos, comments, likes, bookmarks, friends, lists, etc.) to be published or displayed on publicly accessible areas of our Services, or transmitted to other users of our Services or third-parties (collectively, ""User Contributions"").",43,,,,
zomato_31,zomato,Your User Contributions are posted on publicly accessible areas of our Services and transmitted to others at your own risk..,20,,,,
zomato_32,zomato,"We may display this information on the Services, share it with businesses, and further distribute it to a wider audience through third party sites and services.",26,,,,
zomato_33,zomato,"We may collect and process images and video recordings of individuals attending events or visiting our office premises for security and safety purposes. This includes the use of closed-circuit television (CCTV) systems at our facilities. CCTV footage may capture individuals' images, vehicle information, and other identifying details. We may also collect photographs or videos during events for promotional or documentation purposes.",61,,,,
zomato_34,zomato,"If you choose to utilise any of our services which require uploading of your contact book, then we will collect and process such information as well, which could include the name and phone number of contacts stored on your device(s).",40,,,,
zomato_35,zomato,"By uploading or providing access to your contact list or any third-party personal information, you represent and warrant that you have obtained the explicit, informed consent of each individual to share their information with Eternal for the purposes described in this policy or at the time of collection, and you agree to indemnify Eternal against any claims arising from your failure to obtain such consent By providing access to or uploading your Contacts, you represent that you have obtained the necessary consent from your Contacts to share their information with us for these purposes, and you expressly consent to our collection, storage, and use of this information as described.",109,,,,
zomato_36,zomato,"As part of various service offerings provided by us from time to time, you may be given the opportunity to provide us with information that allows us to facilitate these services and in doing so, you consent to providing us with such information.",43,,,,
zomato_37,zomato,"This includes, without limitation, any information you provide in response to surveys, feedback requests, promotional offers, contests, user research studies, beta testing programs, or when utilizing any new or optional features we may introduce.",34,,,,
zomato_38,zomato,"By volunteering any such information, you explicitly consent to its collection and use for the purposes stated at the time of collection and as generally described in this Privacy Policy.",30,,,,
zomato_39,zomato,"Our Services are generally not directed to or intended for use by individuals under the age of 18 (""Minors""), and we do not knowingly collect personal information from Minors for the purposes of creating an account or for general use of our platform.",43,,,,
zomato_40,zomato,"While our platform is not designed for Minors, we recognize that an adult user may need to provide limited information about a Minor to access certain services (for example, purchasing a ticket for a family-friendly event on District).",38,,,,
zomato_41,zomato,"By providing personal information of a Minor, you, the adult user, represent and warrant that:",15,,,,
zomato_42,zomato,You give your explicit consent for Eternal to collect and process the Minor's information for the specific and limited purpose disclosed at the time of collection.,26,,,,
zomato_43,zomato,"The information collected will be used solely to facilitate the requested service and will not be used to create a user profile for the Minor or for any marketing, profiling, or other secondary purposes. You are responsible for any information you provide about a Minor. If we become aware that personal information of a Minor has been provided without the requisite and valid parental or guardian consent, we reserve the right to delete such information immediately.",76,,,,
zomato_44,zomato,"We may automatically collect certain information about the computer or devices (including mobile devices) you use to access the Services, and about your use of the Services, even if you use the Services without registering or logging in.",38,,,,
zomato_45,zomato,"Details about your interactions with our Services, such as search queries, pages viewed, features used, content interactions (clicks, scrolls, time spent), transaction history summaries, error logs, timestamps, referral URLs (the last web page visited before ours), and other usage patterns and communication data generated while using the Services. For mobile application users, this may include the online or offline status of the application.",63,,,,
zomato_46,zomato,"Data about the computer, mobile device, or other equipment used to access our Services. This includes IP address, device type, operating system, browser type and version, unique device identifiers (such as Apple IDFA, Android Advertising ID, or other manufacturer-assigned IDs), mobile network information, device settings (like language, time zone), connection type and speed, and potentially the device's telephone number associated with the SIM card or device.",66,,,,
zomato_47,zomato,"Â Information about your computer, internet connection and mobile device, including your IP address, operating systems, platforms, browser type, other browsing information (connection, speed, connection type etc.), device type, device's unique device identifier, mobile network information and the device's telephone number.",41,,,,
zomato_48,zomato,We may also collect your unique mobile device identifier (e.g. IDFA or other device IDs on Apple devices like the iPhone and iPad).,23,,,,
